Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
14-SEP-2023,20127.95,20167.65,20043.45,20103.1,275111881,21902.65
15-SEP-2023,20156.45,20222.45,20129.7,20192.35,438185104,42681.35
18-SEP-2023,20155.95,20195.35,20115.7,20133.3,264870758,21135.95
20-SEP-2023,19980.75,20050.65,19878.85,19901.4,378065882,37351.58
21-SEP-2023,19840.55,19848.75,19709.95,19742.35,275132260,26711.83
22-SEP-2023,19744.85,19798.65,19657.5,19674.25,246410075,24137.57
25-SEP-2023,19678.2,19734.15,19601.55,19674.55,188398392,20194.48
26-SEP-2023,19682.8,19699.35,19637.45,19664.7,204869058,18118.19
27-SEP-2023,19637.05,19730.7,19554,19716.45,203559874,19659.17
28-SEP-2023,19761.8,19766.65,19492.1,19523.55,352810261,30069.78
29-SEP-2023,19581.2,19726.25,19551.05,19638.3,243508919,20978.72
03-OCT-2023,19622.4,19623.2,19479.65,19528.75,221719625,21459.58
04-OCT-2023,19446.3,19457.8,19333.6,19436.1,277148310,26017.47
05-OCT-2023,19521.85,19576.95,19487.3,19545.75,234865323,22019.04
06-OCT-2023,19621.2,19675.75,19589.4,19653.5,159051277,16096.52
09-OCT-2023,19539.45,19588.95,19480.5,19512.35,165094800,15499.67
10-OCT-2023,19565.6,19717.8,19565.45,19689.85,216559447,18735.62
11-OCT-2023,19767,19839.2,19756.95,19811.35,213729730,19900.99
12-OCT-2023,19822.7,19843.3,19772.65,19794,217904144,20999.94
13-OCT-2023,19654.55,19805.4,19635.3,19751.05,254955979,24363.02
16-OCT-2023,19737.25,19781.3,19691.85,19731.75,180964341,14746.01
17-OCT-2023,19843.2,19849.75,19775.65,19811.5,185846716,16839.87
18-OCT-2023,19820.45,19840.95,19659.95,19671.1,198942937,18581.64
19-OCT-2023,19545.2,19681.8,19512.35,19624.7,230312163,23582.01
20-OCT-2023,19542.15,19593.8,19518.7,19542.65,198341255,17944.31
23-OCT-2023,19521.6,19556.85,19257.85,19281.75,176044288,16212.9
25-OCT-2023,19286.45,19347.3,19074.15,19122.15,225291741,19818.32
26-OCT-2023,19027.25,19041.7,18837.85,18857.25,300356469,28939.64
27-OCT-2023,18928.75,19076.15,18926.65,19047.25,205201044,19947.48
30-OCT-2023,19053.4,19158.5,18940,19140.9,180132492,17095.73
31-OCT-2023,19232.95,19233.7,19056.45,19079.6,206049341,19397.36
