Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3034.600098,3079.850098,3021.800049,3046.750000,3046.750000,0
2009-01-05,3058.750000,3131.949951,3056.449951,3121.449951,3121.449951,0
2009-01-06,3121.500000,3141.800049,3056.100098,3112.800049,3112.800049,0
2009-01-07,3112.800049,3147.199951,2888.199951,2920.399902,2920.399902,0
2009-01-09,2919.949951,2929.850098,2810.250000,2873.000000,2873.000000,0
2009-01-12,2868.850098,2869.199951,2748.550049,2773.100098,2773.100098,0
2009-01-13,2775.000000,2802.600098,2720.800049,2744.949951,2744.949951,0
2009-01-14,2748.399902,2853.250000,2748.399902,2835.300049,2835.300049,0
2009-01-15,2832.300049,2832.300049,2701.750000,2736.699951,2736.699951,0
2009-01-16,2737.000000,2835.649902,2724.199951,2828.449951,2828.449951,0
2009-01-19,2828.699951,2868.199951,2819.899902,2846.199951,2846.199951,0
2009-01-20,2842.899902,2842.899902,2758.000000,2796.600098,2796.600098,0
2009-01-21,2777.399902,2787.300049,2690.199951,2706.149902,2706.149902,0
2009-01-22,2714.699951,2744.850098,2681.399902,2713.800049,2713.800049,0
2009-01-23,2705.449951,2765.550049,2661.649902,2678.550049,2678.550049,0
2009-01-27,2686.050049,2777.300049,2685.250000,2771.350098,2771.350098,0
2009-01-28,2771.100098,2855.399902,2765.600098,2849.500000,2849.500000,0
2009-01-29,2849.350098,2873.850098,2795.350098,2823.949951,2823.949951,0
2009-01-30,2824.050049,2881.000000,2774.100098,2874.800049,2874.800049,0
2009-02-02,2872.350098,2873.449951,2760.699951,2766.649902,2766.649902,0
2009-02-03,2773.500000,2831.699951,2752.899902,2783.899902,2783.899902,0
2009-02-04,2780.699951,2842.199951,2780.699951,2803.050049,2803.050049,0
2009-02-05,2802.750000,2816.800049,2754.850098,2780.050049,2780.050049,0
2009-02-06,2779.350098,2852.500000,2778.649902,2843.100098,2843.100098,0
2009-02-09,2843.050049,2926.750000,2840.149902,2919.899902,2919.899902,0
2009-02-10,2919.699951,2957.399902,2891.750000,2934.500000,2934.500000,0
2009-02-11,2933.000000,2937.500000,2877.600098,2925.699951,2925.699951,0
2009-02-12,2927.399902,2939.000000,2886.550049,2893.050049,2893.050049,0
2009-02-13,2896.949951,2969.750000,2896.850098,2948.350098,2948.350098,0
2009-02-16,2948.250000,2953.199951,2839.100098,2848.500000,2848.500000,0
2009-02-17,2853.850098,2854.649902,2757.300049,2770.500000,2770.500000,0
2009-02-18,2755.149902,2806.500000,2736.649902,2776.149902,2776.149902,0
2009-02-19,2776.699951,2802.149902,2767.600098,2789.350098,2789.350098,0
2009-02-20,2789.300049,2789.300049,2709.300049,2736.449951,2736.449951,0
2009-02-24,2737.250000,2746.199951,2677.550049,2733.899902,2733.899902,0
2009-02-25,2733.449951,2789.350098,2733.449951,2762.500000,2762.500000,0
2009-02-26,2762.199951,2797.800049,2731.899902,2785.649902,2785.649902,0
2009-02-27,2785.699951,2787.199951,2708.449951,2763.649902,2763.649902,0
2009-03-02,2764.600098,2764.600098,2659.550049,2674.600098,2674.600098,0
2009-03-03,2672.149902,2688.500000,2611.550049,2622.399902,2622.399902,0
2009-03-04,2611.949951,2655.699951,2611.949951,2645.199951,2645.199951,0
2009-03-05,2645.899902,2663.899902,2564.100098,2576.699951,2576.699951,0
2009-03-06,2576.750000,2628.100098,2539.449951,2620.149902,2620.149902,0
2009-03-09,2620.100098,2621.250000,2555.600098,2573.149902,2573.149902,0
2009-03-12,2574.500000,2646.100098,2574.500000,2617.449951,2617.449951,0
2009-03-13,2616.600098,2726.149902,2616.600098,2719.250000,2719.250000,0
2009-03-16,2716.050049,2781.949951,2701.949951,2777.250000,2777.250000,0
2009-03-17,2776.350098,2805.600098,2738.699951,2757.449951,2757.449951,0
2009-03-18,2757.649902,2836.050049,2752.250000,2794.699951,2794.699951,0
2009-03-19,2797.050049,2822.250000,2771.350098,2807.149902,2807.149902,0
2009-03-20,2807.350098,2816.100098,2773.649902,2807.050049,2807.050049,0
2009-03-23,2807.250000,2949.750000,2807.250000,2939.899902,2939.899902,0
2009-03-24,2923.800049,3017.399902,2914.500000,2938.699951,2938.699951,0
2009-03-25,2938.800049,2996.500000,2923.300049,2984.350098,2984.350098,0
2009-03-26,2982.250000,3103.350098,2982.250000,3082.250000,3082.250000,0
2009-03-27,3079.399902,3123.350098,3055.899902,3108.649902,3108.649902,0
2009-03-30,3108.750000,3110.199951,2962.399902,2978.149902,2978.149902,0
2009-03-31,2981.699951,3054.300049,2966.399902,3020.949951,3020.949951,0
2009-04-01,3023.850098,3069.300049,2965.699951,3060.350098,3060.350098,0
2009-04-02,3061.050049,3228.750000,3061.050049,3211.050049,3211.050049,0
2009-04-06,3211.350098,3303.899902,3211.350098,3256.600098,3256.600098,0
2009-04-08,3255.350098,3357.050049,3149.250000,3342.949951,3342.949951,0
2009-04-09,3346.000000,3401.149902,3307.050049,3342.050049,3342.050049,0
2009-04-13,3342.199951,3417.800049,3334.149902,3382.600098,3382.600098,0
2009-04-15,3381.449951,3497.550049,3311.800049,3484.149902,3484.149902,0
2009-04-16,3484.350098,3511.250000,3354.199951,3369.500000,3369.500000,0
2009-04-17,3369.500000,3489.850098,3359.250000,3384.399902,3384.399902,0
2009-04-20,3384.750000,3441.100098,3339.449951,3377.100098,3377.100098,0
2009-04-21,3376.850098,3414.699951,3309.350098,3365.300049,3365.300049,0
2009-04-22,3364.600098,3401.100098,3296.899902,3330.300049,3330.300049,0
2009-04-23,3330.500000,3439.899902,3310.500000,3423.699951,3423.699951,0
2009-04-24,3423.600098,3491.350098,3402.899902,3480.750000,3480.750000,0
2009-04-27,3481.300049,3517.250000,3435.300049,3470.000000,3470.000000,0
2009-04-28,3469.500000,3471.949951,3351.500000,3362.350098,3362.350098,0
2009-04-29,3371.649902,3486.399902,3366.699951,3473.949951,3473.949951,0
2009-04-30,null,null,null,null,null,null
2009-05-04,3478.699951,3664.500000,3478.699951,3654.000000,3654.000000,0
2009-05-05,3664.500000,3682.199951,3618.750000,3661.899902,3661.899902,0
2009-05-06,3662.000000,3717.050049,3608.649902,3625.050049,3625.050049,0
2009-05-07,3617.149902,3692.050049,3617.149902,3683.899902,3683.899902,0
2009-05-08,3681.800049,3711.250000,3582.850098,3620.699951,3620.699951,0
2009-05-11,3615.750000,3660.199951,3534.550049,3554.600098,3554.600098,0
2009-05-12,3554.649902,3691.649902,3534.199951,3681.100098,3681.100098,0
2009-05-13,3668.750000,3709.600098,3610.199951,3635.250000,3635.250000,0
2009-05-14,3631.899902,3631.899902,3537.600098,3593.449951,3593.449951,0
2009-05-15,3597.850098,3686.250000,3597.850098,3671.649902,3671.649902,0
2009-05-18,3673.149902,4384.299805,3673.149902,4323.149902,4323.149902,0
2009-05-19,4324.950195,4509.399902,4167.649902,4318.450195,4318.450195,0
2009-05-20,4318.750000,4362.850098,4244.700195,4270.299805,4270.299805,0
2009-05-21,4270.350098,4319.000000,4199.200195,4210.899902,4210.899902,0
2009-05-22,4211.850098,4249.500000,4155.850098,4238.500000,4238.500000,0
2009-05-25,4238.100098,4270.049805,4205.100098,4237.549805,4237.549805,0
2009-05-26,4239.549805,4256.049805,4092.250000,4116.700195,4116.700195,0
2009-05-27,4117.299805,4286.450195,4115.250000,4276.049805,4276.049805,0
2009-05-28,4276.149902,4354.850098,4254.850098,4337.100098,4337.100098,0
2009-05-29,4340.750000,4488.049805,4340.750000,4448.950195,4448.950195,0
2009-06-01,4450.399902,4545.399902,4450.399902,4529.899902,4529.899902,0
2009-06-02,4530.450195,4586.399902,4451.299805,4525.250000,4525.250000,0
2009-06-03,4525.500000,4574.899902,4478.600098,4530.700195,4530.700195,0
2009-06-04,4530.299805,4582.200195,4453.450195,4572.649902,4572.649902,0
2009-06-05,4573.299805,4636.850098,4561.950195,4586.899902,4586.899902,0
2009-06-08,4582.350098,4611.399902,4404.649902,4429.899902,4429.899902,0
2009-06-09,4427.750000,4562.450195,4365.100098,4550.950195,4550.950195,0
2009-06-10,4551.700195,4688.950195,4551.700195,4655.250000,4655.250000,0
2009-06-11,4657.399902,4679.549805,4586.149902,4637.700195,4637.700195,0
2009-06-12,4637.549805,4693.200195,4566.149902,4583.399902,4583.399902,0
2009-06-15,4584.649902,4601.049805,4469.600098,4484.000000,4484.000000,0
2009-06-16,4478.100098,4537.950195,4405.950195,4517.799805,4517.799805,0
2009-06-17,4515.350098,4517.799805,4332.799805,4356.149902,4356.149902,0
2009-06-18,4352.950195,4375.299805,4222.149902,4251.399902,4251.399902,0
2009-06-19,4251.100098,4326.200195,4206.700195,4313.600098,4313.600098,0
2009-06-22,4314.200195,4352.250000,4221.899902,4235.250000,4235.250000,0
2009-06-23,4223.299805,4267.450195,4143.250000,4247.000000,4247.000000,0
2009-06-24,4247.299805,4307.000000,4218.250000,4292.950195,4292.950195,0
2009-06-25,4293.850098,4337.950195,4221.149902,4241.850098,4241.850098,0
2009-06-26,4243.950195,4383.750000,4243.950195,4375.500000,4375.500000,0
2009-06-29,4375.399902,4439.950195,4350.899902,4390.950195,4390.950195,0
2009-06-30,4391.500000,4426.750000,4267.350098,4291.100098,4291.100098,0
2009-07-01,4292.299805,4362.299805,4249.700195,4340.899902,4340.899902,0
