Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,21727.750000,21834.349609,21680.849609,21741.900391,21741.900391,154000
2024-01-02,21751.349609,21755.599609,21555.650391,21665.800781,21665.800781,263700
2024-01-03,21661.099609,21677.000000,21500.349609,21517.349609,21517.349609,311900
2024-01-04,21605.800781,21685.650391,21564.550781,21658.599609,21658.599609,339200
2024-01-05,21705.750000,21749.599609,21629.199219,21710.800781,21710.800781,309300
2024-01-08,21747.599609,21763.949219,21492.900391,21513.000000,21513.000000,231500
2024-01-09,21653.599609,21724.449219,21517.849609,21544.849609,21544.849609,228600
2024-01-10,21529.300781,21641.849609,21448.650391,21618.699219,21618.699219,217000
2024-01-11,21688.000000,21726.500000,21593.750000,21647.199219,21647.199219,212500
2024-01-12,21773.550781,21928.250000,21715.150391,21894.550781,21894.550781,294700
2024-01-15,22053.150391,22115.550781,21963.550781,22097.449219,22097.449219,345500
2024-01-16,22080.500000,22124.150391,21969.800781,22032.300781,22032.300781,292400
2024-01-17,21647.250000,21851.500000,21550.449219,21571.949219,21571.949219,456000
2024-01-18,21414.199219,21539.400391,21285.550781,21462.250000,21462.250000,387300
2024-01-19,21615.199219,21670.599609,21575.000000,21622.400391,21622.400391,343100
2024-01-23,21716.699219,21750.250000,21192.599609,21238.800781,21238.800781,449700
2024-01-24,21185.250000,21482.349609,21137.199219,21453.949219,21453.949219,407500
2024-01-25,21454.599609,21459.000000,21247.050781,21352.599609,21352.599609,418100
2024-01-29,21433.099609,21763.250000,21429.599609,21737.599609,21737.599609,376700
2024-01-30,21775.750000,21813.050781,21501.800781,21522.099609,21522.099609,375100
2024-01-31,21487.250000,21741.349609,21448.849609,21725.699219,21725.699219,410600
2024-02-01,21780.650391,21832.949219,21658.750000,21697.449219,21697.449219,332500
2024-02-02,21812.750000,22126.800781,21805.550781,21853.800781,21853.800781,442800
2024-02-05,21921.050781,21964.300781,21726.949219,21771.699219,21771.699219,440800
2024-02-06,21825.199219,21951.400391,21737.550781,21929.400391,21929.400391,371000
2024-02-07,22045.050781,22053.300781,21860.150391,21930.500000,21930.500000,346300
2024-02-08,22009.650391,22011.050781,21665.300781,21717.949219,21717.949219,491100
2024-02-09,21727.000000,21804.449219,21629.900391,21782.500000,21782.500000,349200
2024-02-12,21800.800781,21831.699219,21574.750000,21616.050781,21616.050781,287400
2024-02-13,21664.300781,21766.800781,21543.349609,21743.250000,21743.250000,365800
2024-02-14,21578.150391,21870.849609,21530.199219,21840.050781,21840.050781,359100
2024-02-15,21906.550781,21953.849609,21794.800781,21910.750000,21910.750000,345400
2024-02-16,22020.300781,22068.650391,21968.949219,22040.699219,22040.699219,343900
2024-02-19,22103.449219,22186.650391,22021.050781,22122.250000,22122.250000,0
2024-02-20,22099.199219,22215.599609,22045.849609,22196.949219,22196.949219,295700
2024-02-21,22248.849609,22249.400391,21997.949219,22055.050781,22055.050781,364500
2024-02-22,22081.550781,22252.500000,21875.250000,22217.449219,22217.449219,343500
2024-02-23,22290.000000,22297.500000,22186.099609,22212.699219,22212.699219,226000
2024-02-26,22169.199219,22202.150391,22075.150391,22122.050781,22122.050781,207800
2024-02-27,22090.199219,22218.250000,22085.650391,22198.349609,22198.349609,252200
2024-02-28,22214.099609,22229.150391,21915.849609,21951.150391,21951.150391,203000
2024-02-29,21935.199219,22060.550781,21860.650391,21982.800781,21982.800781,360200
2024-03-01,22048.300781,22353.300781,22047.750000,22338.750000,22338.750000,351500
2024-03-04,22403.500000,22440.900391,22358.300781,22405.599609,22405.599609,298800
2024-03-05,22371.250000,22416.900391,22269.150391,22356.300781,22356.300781,296200
2024-03-06,22327.500000,22497.199219,22224.349609,22474.050781,22474.050781,312300
2024-03-07,22505.300781,22525.650391,22430.000000,22493.550781,22493.550781,379900
2024-03-11,22517.500000,22526.599609,22307.250000,22332.650391,22332.650391,277900
2024-03-12,22334.449219,22452.550781,22256.000000,22335.699219,22335.699219,299200
2024-03-13,22432.199219,22446.750000,21905.650391,21997.699219,21997.699219,493300
2024-03-14,21982.550781,22204.599609,21917.500000,22146.650391,22146.650391,426700
2024-03-15,22064.849609,22120.900391,21931.699219,22023.349609,22023.349609,661500
2024-03-18,21990.099609,22123.699219,21916.550781,22055.699219,22055.699219,356300
2024-03-19,21946.449219,21978.300781,21793.099609,21817.449219,21817.449219,344200
2024-03-20,21843.900391,21930.900391,21710.199219,21839.099609,21839.099609,312400
2024-03-21,21989.900391,22080.949219,21941.300781,22011.949219,22011.949219,353200
2024-03-22,21932.199219,22180.699219,21883.300781,22096.750000,22096.750000,388700
2024-03-26,21947.900391,22073.199219,21947.550781,22004.699219,22004.699219,328400
2024-03-27,22053.949219,22193.599609,22052.849609,22123.650391,22123.650391,409100
2024-03-28,22163.599609,22516.000000,22163.599609,22326.900391,22326.900391,410500
2024-04-01,22455.000000,22529.949219,22427.750000,22462.000000,22462.000000,0
2024-04-02,22458.800781,22497.599609,22388.150391,22453.300781,22453.300781,289500
2024-04-03,22385.699219,22521.099609,22346.500000,22434.650391,22434.650391,309600
2024-04-04,22592.099609,22619.000000,22303.800781,22514.650391,22514.650391,401000
2024-04-05,22486.400391,22537.599609,22427.599609,22513.699219,22513.699219,242200
2024-04-08,22578.349609,22697.300781,22550.349609,22666.300781,22666.300781,227600
2024-04-09,22765.099609,22768.400391,22612.250000,22642.750000,22642.750000,232400
2024-04-10,22720.250000,22775.699219,22673.699219,22753.800781,22753.800781,276800
2024-04-12,22677.400391,22726.449219,22503.750000,22519.400391,22519.400391,357200
2024-04-15,22339.050781,22427.449219,22259.550781,22272.500000,22272.500000,355500
2024-04-16,22125.300781,22213.750000,22079.449219,22147.900391,22147.900391,317300
2024-04-18,22212.349609,22326.500000,21961.699219,21995.849609,21995.849609,456900
2024-04-19,21861.500000,22179.550781,21777.650391,22147.000000,22147.000000,362500
2024-04-22,22336.900391,22375.650391,22198.150391,22336.400391,22336.400391,279300
2024-04-23,22447.050781,22447.550781,22349.449219,22368.000000,22368.000000,231500
2024-04-24,22421.550781,22476.449219,22384.000000,22402.400391,22402.400391,235900
2024-04-25,22316.900391,22625.949219,22305.250000,22570.349609,22570.349609,475000
2024-04-26,22620.400391,22620.400391,22385.550781,22419.949219,22419.949219,329900
2024-04-29,22475.550781,22655.800781,22441.900391,22643.400391,22643.400391,292000
2024-04-30,22679.650391,22783.349609,22568.400391,22604.849609,22604.849609,361900
2024-05-02,22567.849609,22710.500000,22567.849609,22648.199219,22648.199219,445900
2024-05-03,22766.349609,22794.699219,22348.050781,22475.849609,22475.849609,438100
2024-05-06,22561.599609,22588.800781,22409.449219,22442.699219,22442.699219,320300
2024-05-07,22489.750000,22499.050781,22232.050781,22302.500000,22302.500000,297800
2024-05-08,22231.199219,22368.650391,22185.199219,22302.500000,22302.500000,277400
2024-05-09,22224.800781,22307.750000,21932.400391,21957.500000,21957.500000,331300
2024-05-10,21990.949219,22131.300781,21950.300781,22055.199219,22055.199219,265800
2024-05-13,22027.949219,22131.650391,21821.050781,22104.050781,22104.050781,278200
2024-05-14,22112.900391,22270.050781,22081.250000,22217.849609,22217.849609,230200
2024-05-15,22255.599609,22297.550781,22151.750000,22200.550781,22200.550781,231900
2024-05-16,22319.199219,22432.250000,22054.550781,22403.849609,22403.849609,0
